108,Brute,Brutal Strike,Ability,1,,"Strike one target with unrelenting force, adding +1d4 Bonus Hits to the result set.",,,,,,,Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, 'Strike', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Strike'],"['!power {{\n    --name|@{name} - Brutal Strike\n    --Effect|Strike one target with unrelenting force, adding +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_strike}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
109,Brute,Brutal Blow,Ability,1,,"Use Martial Arts against one target with unrelenting force, adding +1d4 Bonus Hits to the result set.",,,,,Martial Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, 'Martial Arts', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Martial Arts'],"['!power {{\n    --name|@{name} - Brutal Blow\n    --Effect|Use Martial Arts against one target with unrelenting force, adding +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_martial_arts}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
110,Brute,Just Getting Started,Ability,2,,"Exert yourself when you are below your maximum Grit, then choose 1:<ul><li>Regain Hits to your Primary Defense.</li><li>Increase the current Timer by 1.</li></ul>",,Exert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Exert', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Exert'],"['!power {{\n    --name|@{name} - Just Getting Started\n    --Effect|Exert yourself when you are below your maximum Grit, then choose 1:<ul><li>Regain Hits to your Primary Defense.</li><li>Increase the current Timer by 1.</li></ul>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_exert}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
113,Brute,Who's Next,Ability,1,,"Intimidate all targets in your Current Zone.  If you score Hits greater than their current Nerve, they become <a href:'/no1_system/core/statuses#Afraid/'>Afraid</a> of you.",,,,Intimidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, 'Intimidate', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Intimidate'],"[""!power {{\n    --name|@{name} - Who's Next\n    --Effect|Intimidate all targets in your Current Zone.  If you score Hits greater than their current Nerve, they become <a href:'/no1_system/core/statuses#Afraid/'>Afraid</a> of you.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_intimidate}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}""]"
116,Channeler,Channeling,Ability,1,Recoil,"Your Affinity for these forces all you to use <a href='/no1_system/characters/powers/techniques/'>Techniques</a> that channel their power.<br>When you gain this Talent, select 2 Effect Skills from the list below to be your Affinities:<br><em>Inferno, Lux, Nox, Rime, Squall, Tellus, Tempest, Torrent</em><br>At the beginning of each Waypoint, your Current is 0.",,,,,,,,,,Inferno,,Tempest,,,,,,,,,Nox,,Squall,,,,,,,,,,,,,,,,,,,,,,Rime,Torrent,,,,,,,,,Lux,,Tellus,,,,,,,,,"[None, None, None, None, None, None, None, None, 'Inferno', None, 'Tempest', None, None, None, None, None, None, None, None, 'Nox', None, 'Squall', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Rime', 'Torrent', None, None, None, None, None, None, None, None, 'Lux', None, 'Tellus', None, None, None, None, None, None, None, None]","['Inferno', 'Tempest', 'Nox', 'Squall', 'Rime', 'Torrent', 'Lux', 'Tellus']","[""!power {{\n    --name|@{name} - Channeling\n    --Effect|Your Affinity for these forces all you to use <a href='/no1_system/characters/powers/techniques/'>Techniques</a> that channel their power.<br>When you gain this Talent, select 2 Effect Skills from the list below to be your Affinities:<br><em>Inferno, Lux, Nox, Rime, Squall, Tellus, Tempest, Torrent</em><br>At the beginning of each Waypoint, your Current is 0.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_inferno}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Channeling\n    --Effect|Your Affinity for these forces all you to use <a href='/no1_system/characters/powers/techniques/'>Techniques</a> that channel their power.<br>When you gain this Talent, select 2 Effect Skills from the list below to be your Affinities:<br><em>Inferno, Lux, Nox, Rime, Squall, Tellus, Tempest, Torrent</em><br>At the beginning of each Waypoint, your Current is 0.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_tempest}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Channeling\n    --Effect|Your Affinity for these forces all you to use <a href='/no1_system/characters/powers/techniques/'>Techniques</a> that channel their power.<br>When you gain this Talent, select 2 Effect Skills from the list below to be your Affinities:<br><em>Inferno, Lux, Nox, Rime, Squall, Tellus, Tempest, Torrent</em><br>At the beginning of each Waypoint, your Current is 0.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_nox}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Channeling\n    --Effect|Your Affinity for these forces all you to use <a href='/no1_system/characters/powers/techniques/'>Techniques</a> that channel their power.<br>When you gain this Talent, select 2 Effect Skills from the list below to be your Affinities:<br><em>Inferno, Lux, Nox, Rime, Squall, Tellus, Tempest, Torrent</em><br>At the beginning of each Waypoint, your Current is 0.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_squall}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Channeling\n    --Effect|Your Affinity for these forces all you to use <a href='/no1_system/characters/powers/techniques/'>Techniques</a> that channel their power.<br>When you gain this Talent, select 2 Effect Skills from the list below to be your Affinities:<br><em>Inferno, Lux, Nox, Rime, Squall, Tellus, Tempest, Torrent</em><br>At the beginning of each Waypoint, your Current is 0.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_rime}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Channeling\n    --Effect|Your Affinity for these forces all you to use <a href='/no1_system/characters/powers/techniques/'>Techniques</a> that channel their power.<br>When you gain this Talent, select 2 Effect Skills from the list below to be your Affinities:<br><em>Inferno, Lux, Nox, Rime, Squall, Tellus, Tempest, Torrent</em><br>At the beginning of each Waypoint, your Current is 0.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_torrent}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Channeling\n    --Effect|Your Affinity for these forces all you to use <a href='/no1_system/characters/powers/techniques/'>Techniques</a> that channel their power.<br>When you gain this Talent, select 2 Effect Skills from the list below to be your Affinities:<br><em>Inferno, Lux, Nox, Rime, Squall, Tellus, Tempest, Torrent</em><br>At the beginning of each Waypoint, your Current is 0.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_lux}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Channeling\n    --Effect|Your Affinity for these forces all you to use <a href='/no1_system/characters/powers/techniques/'>Techniques</a> that channel their power.<br>When you gain this Talent, select 2 Effect Skills from the list below to be your Affinities:<br><em>Inferno, Lux, Nox, Rime, Squall, Tellus, Tempest, Torrent</em><br>At the beginning of each Waypoint, your Current is 0.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_tellus}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}""]"
124,Conduit,Attune with Essence,Ability,1,Bonded Essence,"Focus or use your Insight to connect with your power, gaining Hits in Attunement.<br>Attunment measures the strength of connection to your power, which determines the strength of the Marvels you can manifest.<br>If the result set of one of your Marvels contains a 1, reduce your Atttunement by X, where X is equal to Hits in the same result set.<br>If your Attunement equals 0 or less, you gain Stunned 3 and the Entropy increases by +3.<br>You may use this Ability without spending an Action at the beginning of each Waypoint. If you use it during a Waypoint, it requires 8 - Steady Actions (minimum 1 Action).",,,,,,,,,,,,,,Insight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, 'Insight', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Focus', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Insight', 'Focus']","['!power {{\n    --name|@{name} - Attune with Essence\n    --Effect|Focus or use your Insight to connect with your power, gaining Hits in Attunement.<br>Attunment measures the strength of connection to your power, which determines the strength of the Marvels you can manifest.<br>If the result set of one of your Marvels contains a 1, reduce your Atttunement by X, where X is equal to Hits in the same result set.<br>If your Attunement equals 0 or less, you gain Stunned 3 and the Entropy increases by +3.<br>You may use this Ability without spending an Action at the beginning of each Waypoint. If you use it during a Waypoint, it requires 8 - Steady Actions (minimum 1 Action).\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_insight}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Attune with Essence\n    --Effect|Focus or use your Insight to connect with your power, gaining Hits in Attunement.<br>Attunment measures the strength of connection to your power, which determines the strength of the Marvels you can manifest.<br>If the result set of one of your Marvels contains a 1, reduce your Atttunement by X, where X is equal to Hits in the same result set.<br>If your Attunement equals 0 or less, you gain Stunned 3 and the Entropy increases by +3.<br>You may use this Ability without spending an Action at the beginning of each Waypoint. If you use it during a Waypoint, it requires 8 - Steady Actions (minimum 1 Action).\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_focus}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
134,Corsair,Pirate's Charm,Ability,1,,"Persuade a sailor, pirate, or maritime merchant, adding +2 Bonus Hits to the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persuade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Persuade', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Persuade'],"[""!power {{\n    --name|@{name} - Pirate's Charm\n    --Effect|Persuade a sailor, pirate, or maritime merchant, adding +2 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_persuade}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}""]"
139,Corsair,Plunderer's Instinct,Ability,1,,"Perceive or Investigate to find hidden compartments, treaure, or valuable cargo, adding +1d4 Bonus Hits to the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investigate,,Perceive,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Investigate', None, 'Perceive', None, None, None, None, None, None, None, None, None, None, None, None, None]","['Investigate', 'Perceive']","[""!power {{\n    --name|@{name} - Plunderer's Instinct\n    --Effect|Perceive or Investigate to find hidden compartments, treaure, or valuable cargo, adding +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_investigate}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Plunderer's Instinct\n    --Effect|Perceive or Investigate to find hidden compartments, treaure, or valuable cargo, adding +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_perceive}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}""]"
140,Corsair,Broadside Barrage,Ability,2,,"Lead the crew of a ship in unleashing a devastating broadside attack.  On 2+ Hits, the ballistae to deal double Hits on their next Shoot attempt.",,,,,,Shoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead,,,,,,,,,,,,,,,"[None, None, None, None, 'Shoot', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Lead', None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Shoot', 'Lead']","['!power {{\n    --name|@{name} - Broadside Barrage\n    --Effect|Lead the crew of a ship in unleashing a devastating broadside attack.  On 2+ Hits, the ballistae to deal double Hits on their next Shoot attempt.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_shoot}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Broadside Barrage\n    --Effect|Lead the crew of a ship in unleashing a devastating broadside attack.  On 2+ Hits, the ballistae to deal double Hits on their next Shoot attempt.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_lead}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
144,Corsair,Grappling Hook,Ability,2,,"Use your Implements to throw a grappling hook, allowing you to use your Shift to Move to an Adjacent Zone that is vertical from your Current Zone.",,,,,,,,,,,,,Implements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, 'Implements', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Implements'],"['!power {{\n    --name|@{name} - Grappling Hook\n    --Effect|Use your Implements to throw a grappling hook, allowing you to use your Shift to Move to an Adjacent Zone that is vertical from your Current Zone.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_implements}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
145,Corsair,Tidal Strike,Ability,2,,"Spend Momentum to Strike with the rage of the seas adding +X Bonus Hits to the result set, where X is the amount of Momentum spent.",,,,,,,Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, 'Strike', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Strike'],"['!power {{\n    --name|@{name} - Tidal Strike\n    --Effect|Spend Momentum to Strike with the rage of the seas adding +X Bonus Hits to the result set, where X is the amount of Momentum spent.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_strike}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
147,Corsair,Smuggler's Cunning,Ability,2,,"Deceive a target that holds a position of authority, adding +1d4 Bonus Hits to the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deceive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Deceive', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Deceive'],"[""!power {{\n    --name|@{name} - Smuggler's Cunning\n    --Effect|Deceive a target that holds a position of authority, adding +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_deceive}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}""]"
148,Corsair,Captain's Command,Ability,3,,"Lead all allies in your Current Zone allowing X allies to immediately use a Shoft or Trigger, where X is the number of Hits in the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Lead', None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Lead'],"[""!power {{\n    --name|@{name} - Captain's Command\n    --Effect|Lead all allies in your Current Zone allowing X allies to immediately use a Shoft or Trigger, where X is the number of Hits in the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_lead}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}""]"
149,Courtier,Silver Tongue,Ability,1,,"Persuade your target, adding +2 Hits to the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persuade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Persuade', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Persuade'],"['!power {{\n    --name|@{name} - Silver Tongue\n    --Effect|Persuade your target, adding +2 Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_persuade}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
152,Courtier,Subtle Manipulation,Ability,2,,"Deceive your target, adding +2 Bonus Hits to the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deceive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Deceive', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Deceive'],"['!power {{\n    --name|@{name} - Subtle Manipulation\n    --Effect|Deceive your target, adding +2 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_deceive}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
155,Courtier,Intrigue Mastery,Ability,3,,Increase your History Rank to 3 (d10) and your Persuasion or Insight Rank to 3 (d10).,,,,,,,,,,,,,,Insight,,,,,,,,,,,,,,,,,History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, 'Insight', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'History', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Insight', 'History']","['!power {{\n    --name|@{name} - Intrigue Mastery\n    --Effect|Increase your History Rank to 3 (d10) and your Persuasion or Insight Rank to 3 (d10).\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_insight}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Intrigue Mastery\n    --Effect|Increase your History Rank to 3 (d10) and your Persuasion or Insight Rank to 3 (d10).\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_history}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
156,Courtier,Social Chameleon,Ability,1,,"Deceive to adopt the mannerisms and speech of a different social class, adding +1d4 Bonus Hits to the result set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deceive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Deceive', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Deceive'],"['!power {{\n    --name|@{name} - Social Chameleon\n    --Effect|Deceive to adopt the mannerisms and speech of a different social class, adding +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_deceive}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
157,Courtier,Rumor Mill,Ability,3,Shadow Network,"You can utilize your Shadow Network to spread a rumor or piece of misinformation. While you are in a city, Spend 2 Wealth and Deceive to plant the seeds of gossip.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deceive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Deceive', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Deceive'],"['!power {{\n    --name|@{name} - Rumor Mill\n    --Effect|You can utilize your Shadow Network to spread a rumor or piece of misinformation. While you are in a city, Spend 2 Wealth and Deceive to plant the seeds of gossip.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_deceive}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
158,Courtier,Inspiring Presence,Ability,2,,"Lead all allies in your Current Zone, restoring Hits to their Primary Defenses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Lead', None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Lead'],"['!power {{\n    --name|@{name} - Inspiring Presence\n    --Effect|Lead all allies in your Current Zone, restoring Hits to their Primary Defenses.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_lead}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
165,Courtier,Whispered Secrets,Ability,2,The Better Part of Valor,"You are a master at communicating subtly and discreetly, exchanging critical information without arousing suspicion.  Deceive to communicate with an ally in your Current Zone when you are being observed by unwanted ears.  On 3+ Hits, you can speak freely without being overheard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deceive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Deceive', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Deceive'],"['!power {{\n    --name|@{name} - Whispered Secrets\n    --Effect|You are a master at communicating subtly and discreetly, exchanging critical information without arousing suspicion.  Deceive to communicate with an ally in your Current Zone when you are being observed by unwanted ears.  On 3+ Hits, you can speak freely without being overheard.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_deceive}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
166,Defender,Focused Defense,Ability,1,,"Focus to defend yourself in combat, assuming a Defensive Stance adding +Hits to your Primary Defense.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Focus', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Focus'],"['!power {{\n    --name|@{name} - Focused Defense\n    --Effect|Focus to defend yourself in combat, assuming a Defensive Stance adding +Hits to your Primary Defense.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_focus}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
187,Detective,Interrogator,Ability,1,,"Persuade or Intimidate a target you are questioning, adding +2 Bonus Hits to the result set.",,,,Intimidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persuade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, 'Intimidate', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Persuade', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Intimidate', 'Persuade']","['!power {{\n    --name|@{name} - Interrogator\n    --Effect|Persuade or Intimidate a target you are questioning, adding +2 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_intimidate}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Interrogator\n    --Effect|Persuade or Intimidate a target you are questioning, adding +2 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_persuade}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
