,name,type,max_ranks,effect,threshold,requires,keywords,attr_spell_rank
82,Shift Planes,Ability,4,,"[{'hits': 4, 'effect': 'Up to X +2 targets that you can see and allow you immediately Shift to a different world of the Cosm, where X is equal to Hits in the result set.  You cannot choose the destination world.'}, {'hits': 6, 'effect': 'Up to X +2 targets that you can see and allow you immediately Shift to a different world of the Cosm, where X is equal to Hits in the result set.  You choose the destination world.'}]",Gate 2,['Locus'],attr_spell_rank_shift_planes
83,Silence,Ability,3,,"[{'hits': 3, 'effect': 'Up to X targets in your Current Zone make no noise Ongoing, where X is equal to Hits in the result set.  '}]",,['Ongoing 3'],attr_spell_rank_silence
84,Sleep,Ability,4,,"[{'hits': 2, 'effect': 'Choose one target in your Current Zone.  If X is greater than their current Nerve, they gain Unconscious 2, where X is equal to Hits in the result set.'}, {'hits': 5, 'effect': 'Choose one target in your Current Zone.  If X is greater than their current Nerve, they gain Unconscious 5, where X is equal to Hits in the result set.'}]",,['Mentis'],attr_spell_rank_sleep
85,Make the Time,Shift,4,,"[{'hits': 3, 'effect': 'Spend 1 Momentum and increase the current Timer by 1.'}, {'hits': 5, 'effect': 'Spend 1 Momentum and increase the current Timer by 2.'}]",,['Tempor'],attr_spell_rank_make_the_time
86,Strangling Spores,Ability,3,,"[{'hits': 1, 'effect': 'Up to 2 targets in your Current or an Adjacent Zone take 1 Hit to Grit and gain Fatigued 1.'}, {'hits': 3, 'effect': 'Up to 2 targets in your Current or an Adjacent Zone take 3 Hits to Grit and gain Fatigued 1.'}]",,"['Phylla', 'Plaga']",attr_spell_rank_strangling_spores
87,Stun Target,Ability,4,,"[{'hits': 2, 'effect': 'One target in your Curent Zone gains Stunned 3.'}, {'hits': 5, 'effect': 'One target in your Curent Zone gains Stunned 5.'}]",,[''],attr_spell_rank_stun_target
88,Summon Spirit Animal,Ability,2,,"[{'hits': 1, 'effect': 'You may recruit a Beast of cost 1 or less from the Beast Minions table.'}]",,[],attr_spell_rank_summon_spirit_animal
89,Sweltering Sunlight,Ability,4,,"[{'hits': 3, 'effect': 'Up to 3 targets in your Current or an Adjacent Zone take 3 Hits and gain Fatigued 2.'}, {'hits': 5, 'effect': 'All targets in your Current or an Adjacent Zone take 3 Hits and gain Fatigued 2.'}]",,['Lux'],attr_spell_rank_sweltering_sunlight
90,Tainted Strikes,Shift,2,,"[{'hits': 2, 'effect': ""One target in your Current Zone gains the following Aura 2:<h4 style='margin: 3px;'>Trigger &mdash </h4> When you Shoot, Strike, or use your Martial Arts and score 1+ Hits, your target gains Fatigued 1.""}]",,"['Mori', 'Nox', 'Plaga']",attr_spell_rank_tainted_strikes
91,Teleport,Ability,4,,"[{'hits': 3, 'effect': 'You and up to X willing targets in your Current Zone immediately transport to destination on this world, where X is equal to Hits in the result set.  If you are unfamiliar with the destination, you will arrive at a location close to, but not precisely at, the destination.'}, {'hits': 4, 'effect': 'You and up to X +3 willing targets in your Current Zone immediately transport to destination on this world, where X is equal to Hits in the result set.  If you are unfamiliar with the destination, you will arrive at a location close to, but not precisely at, the destination.'}]",Dimension Door 1,['Locus'],attr_spell_rank_teleport
92,Thunder Clap,Ability,3,,"[{'hits': 2, 'effect': 'All targets in your Current Zone gain Dazed 2.'}, {'hits': 4, 'effect': 'All targets except you in your Current Zone gain Dazed 2.'}]",,['Tempest'],attr_spell_rank_thunder_clap
93,Time Stop,Ability,4,,"[{'hits': 3, 'effect': 'Choose 3 targets in your Current Zone.  Those targets gain 2 full rounds to act before the current Initative and Timer resume.'}, {'hits': 6, 'effect': 'Choose X targets in your Current Zone, where X is equal to Hits in the result set.  Those targets gain 2 full rounds to act before the current Initative and Timer resume.'}]",Make the Time 3,['Tempor'],attr_spell_rank_time_stop
94,Trumpet Blast,Shift,3,,"[{'hits': 2, 'effect': 'Up to 2 targets in your Current or an Adjacent Zone add +1d4 Bonus Hits to any action using Compsure, Endure, Exert, Focus, Grapple, Shoot, Strike, or Martial Arts on their next turn.'}, {'hits': 4, 'effect': 'Up to x targets in your Current or an Adjacent Zone add +1d4 Bonus Hits to any action using Compsure, Endure, Exert, Focus, Grapple, Shoot, Strike, or Martial Arts on their next turn, where X is equal to Hits in the result set.'}]",,['Bellor'],attr_spell_rank_trumpet_blast
95,Twincast,Shift,3,,"[{'hits': 3, 'effect': 'Increase the Entropy by +1 Momentum to copy the effects of the next spell you cast this turn.  You may choose different targets for the copy.'}]",,[''],attr_spell_rank_twincast
96,Vine Snare,Ability,3,,"[{'hits': 2, 'effect': 'One target in your Current or an Adjacent Zone gains Restrained 3.'}, {'hits': 4, 'effect': 'One target in your Current or an Adjacent Zone gains Restrained X, where X is equal to Hits in the result set.'}]",,['Phylla'],attr_spell_rank_vine_snare
97,Void Snare,Trigger,3,,"[{'hits': 3, 'effect': 'When a target you can see moves into your Current Zone, they blink momentarily into the Ina, ending their turn.'}]",,['Nihil'],attr_spell_rank_void_snare
98,Void Step,Shift,,,"[{'hits': 0, 'effect': 'Increase the Entropy by +1 and Move to an Adjacent Zone ignoring Hazards.'}]",,['Nihil'],attr_spell_rank_void_step
99,Volcanic Fallout,Ability,4,,"[{'hits': 3, 'effect': 'Target your Current or an Adjacent Zone.  All targets in the targeted Zone take X Hits and the targeted Zone gains X Hazards, where X is equal to Hits in the result set.'}]",Tellus 3,['Tellus'],attr_spell_rank_volcanic_fallout
100,Volcanic Hammer,Ability,4,,"[{'hits': 2, 'effect': 'One target in your Current or an Adjacent Zone takes 3 Hits, becomees Prone, and gains Vulnerable 1.'}]",,['Tellus'],attr_spell_rank_volcanic_hammer
101,Waterknot,Ability,3,,"[{'hits': 3, 'effect': 'One target in your Current or an Adjacent Zone gain Restrained 4.'}, {'hits': 5, 'effect': 'Up to 2 targets in your Current or an Adjacent Zone gain Restrained 4.'}]",,['Torrent'],attr_spell_rank_waterknot
102,Wildfire,Ability,4,,"[{'hits': 2, 'effect': 'Increase the Entropy by +2 and target your Current or an Adjacent Zone.  The targeted Zone and all adjacent Zones gain Hazard 2, and all targets currently in those Zones take 3 Hits.'}, {'hits': 5, 'effect': 'Increase the Entropy by +3, icrease the Momentum by +2, and target your Current or an Adjacent Zone.  The targeted Zone and all adjacent Zones gain Hazard 2, and all targets currently in those Zones take 3 Hits.'}]",,"['Ongoing 2', 'Inferno']",attr_spell_rank_wildfire
103,Wish,Ability,1,,"[{'hits': 500, 'effect': 'Kleist commits Genocide'}]",,[''],attr_spell_rank_wish
104,Withercrown,Ability,3,,"[{'hits': 2, 'effect': 'One target in your Current or an Adjacent Zone gains Fatigued 1 Ongoing.'}]",,"['Ongoing 2', 'Mori', 'Nihil', 'Plaga']",attr_spell_rank_withercrown
